mission_name,chapter,difficulty,reward,steps,tips,trivia
Welcome to Vice City,Prologue,Easy,"$500 + Pistol",Drive to the safehouse in Little Havana|Meet your contact at the docks|Lose the cops (1-star wanted level),Take your time — there's no time limit during the tutorial. Explore the safehouse area for a free weapon pickup.,"The opening mission introduces the protagonists and sets up the core conflict, similar to GTA5's Prologue."
First Wheels,Prologue,Easy,"$800 + Compact Car",Steal a car from the dealership lot|Lose the heat (2-star wanted level)|Deliver the car to the garage,Use alleyways to break line of sight quickly. Don't shoot — just drive.,Rockstar traditionally names the protagonist's first car something memorable. This mission establishes the player's starter vehicle.
Meet the Crew,Prologue,Normal,"$1,200",Go to the nightclub meeting spot|Speak with each crew member to learn their specialties|Drive to the test job location,"Talk to everyone — one crew member gives a bonus side mission later if you build rapport.","Crew members introduced here recur throughout the entire story, similar to GTA5's trio system but with a larger ensemble cast."
Trial Run,Prologue,Normal,"$2,000",Reach the target building in Downtown|Retrieve the package (stealth or loud approach)|Exfiltrate before backup arrives,Stealth is optional but easier — use the side entrance. If you go loud bring body armor.,This mission teaches basic stealth mechanics and introduces the expanded wanted level system.
Nightlife Connection,Chapter 1: Making Contact,Normal,"$3,500",Drive to Club Vice on Ocean Drive|Intimidate the club owner into paying up|Collect the protection money from three businesses|Return to your boss,"Use a baseball bat instead of a gun — melee intimidation works faster and doesn't trigger a police response.","The club scene is a direct homage to GTA: Vice City's Malibu Club, which was one of the most iconic locations in the series."
Speedboat Run,Chapter 1: Making Contact,Normal,"$4,000",Rendezvous at the marina|Take the speedboat to the offshore exchange point|Fend off the ambush boats|Deliver the cargo to the mainland safehouse,"Stay in the speedboat — it's faster than the attackers' dinghies. Use the SMG for drive-by shooting from the boat.","Boat chases are expected to be a major gameplay element in GTA6, given the Vice City setting with its extensive waterways and coastline."
The Informant,Chapter 1: Making Contact,Normal,"$3,200",Follow the target without being spotted|Listen to the meeting from a safe distance|Eliminate the informant before he talks|Lose the resulting wanted level,"Use a civilian car for the tail — sports cars are too conspicuous. Park at a distance and use the phone camera to zoom in on the meeting.",Tail missions are a GTA staple. This one introduces the stealth follow mechanic with an urban Miami backdrop.
Warehouse Raid,Chapter 1: Making Contact,Hard,"$6,500",Scout the warehouse from the adjacent rooftop|Plant C4 on the three supply crates|Fight through the reinforcements|Escape in the provided getaway car,"Bring a rifle for the rooftop scouting phase. Plant C4 on the western crate first — it has the fewest guards nearby.","The warehouse district is based on Miami's Wynwood and Allapattah industrial areas, known for their street art and warehouses."
Cleanup Job,Chapter 1: Making Contact,Normal,"$4,800",Steal the garbage truck from the depot|Collect the three marked bags across town|Dump them in the Everglades|Return the truck without drawing too much attention,"Drive carefully — the truck is slow and attracts attention if visibly damaged. Use the compactor to hide evidence if you went loud.","This mission references the body-disposal mechanics previously seen in GTA5's Trevor Philips missions, expanded for the Vice City setting."
Shakedown,Chapter 1: Making Contact,Easy,"$2,500 + SMG",Visit five businesses in Little Haiti|Collect payment from each business owner|Deal with the one refusing to pay|Return to your crew's base,"Start with the northern businesses — the southern ones get spooked and are harder to collect from. Breaking one window is usually enough to persuade the holdout.","Protection racket missions are a Vice City tradition, going back to the original GTA: Vice City's asset system and gang territory mechanics."
The Cuban Job,Chapter 2: Rising Heat,Normal,"$7,000",Rendezvous with the Cuban contact in Little Havana|Transport the merchandise across town|Survive the gang ambush in the industrial district|Deliver to the warehouse,"Don't stop for the ambush — keep driving and let your passenger shoot. If the vehicle takes too much damage, swap cars quickly in the alley.","Cuban and Haitian gang dynamics were a major theme in the original GTA: Vice City and are expected to return in GTA6, reflecting Miami's real cultural landscape."
Strip Club Stakeout,Chapter 2: Rising Heat,Normal,"$5,500",Enter the strip club and blend in|Find the target in the VIP room|Follow him after he leaves the club|Confront him at his waterfront mansion,"Dress appropriately — wearing a suit reduces suspicion inside. Don't draw your weapon inside the club or you'll trigger an instant 3-star wanted level.","The strip club is expected to be a recurring hub location, similar to the Vanilla Unicorn in GTA5 but with more interactive interiors."
Highway Heist,Chapter 2: Rising Heat,Hard,"$12,000",Set up the roadblock on the I-95 overpass|Stop the armored truck|Crack the safe (drill minigame under time pressure)|Escape through the side roads|Split the take at the safehouse,"Place the roadblock after the highway bend — the driver won't see it in time to brake. Use sticky bombs on the back doors if the drill takes too long.","Highway chases and vehicle takedowns are expected to be a core gameplay loop, building on GTA5's armored car robberies with more cinematic execution."
Swamp Stash,Chapter 2: Rising Heat,Normal,"$6,000",Take the airboat into the Everglades|Follow the GPS coordinates to the stash house|Eliminate the rival crew guarding it|Collect the drug packages|Return before sunset,"Use the airboat — it's the only vehicle that can navigate the shallow swamp water. Alligators are environmental hazards, not enemies — stay out of the water.","The Everglades are confirmed to be part of GTA6's map, serving as the game's wilderness area similar to GTA5's Blaine County but with a distinct Florida swamp ecosystem."
Dirty Cop,Chapter 2: Rising Heat,Normal,"$8,500 + Police Uniform",Meet the corrupt IAB contact at the precinct|Plant evidence in the target's locker|Frame him during the subsequent raid|Escape the internal affairs investigation,"Change into the police uniform to move freely inside the station. Don't run — walking speed raises less suspicion. Avoid eye contact with the desk sergeant.","Corrupt police storylines are a hallmark of GTA narratives, from Officer Tenpenny in San Andreas to Francis McReary in GTA4."
Boatyard Brawl,Chapter 2: Rising Heat,Hard,"$9,000",Infiltrate the boatyard at night|Silently take out the patrol guards|Sabotage the three speedboats|Plant the GPS tracker on the main yacht|Exfiltrate via the water,"Use suppressed weapons — loud gunfire spawns reinforcements from the main warehouse. Swimming away after sabotage is quieter than running.","Coastal and maritime locations play a much larger role in GTA6 than any previous GTA title, reflecting the game's Florida-inspired setting."
Power Play,Chapter 3: Power Struggle,Normal,"$10,000",Attend the cartel meeting at the luxury hotel|Negotiate the deal (dialogue choices affect outcome)|Survive the double-cross ambush|Chase down the traitor through the city|Recover the stolen product,"Dialogue choices during the meeting affect how many enemies you face. The diplomatic approach means fewer guards but a lower initial payout. The aggressive approach means more enemies but you keep all the money.","Branching dialogue with gameplay consequences is rumored to be a new feature in GTA6, building on Red Dead Redemption 2's dynamic conversation system."
Coast Guard Intercept,Chapter 3: Power Struggle,Normal,"$11,000",Steal the Coast Guard patrol boat from the station|Intercept the smuggler's ship 3 miles offshore|Board and secure the vessel|Steer it back to your private dock|Unload the cargo,"Approach from the east — the patrol boat's lights are less visible against the rising sun. Board quickly; the smugglers will attempt to scuttle the ship if you take too long.","Offshore missions utilize GTA6's expanded ocean map, which is rumored to be significantly larger than GTA5's maritime area."
Mall Shootout,Chapter 3: Power Struggle,Hard,"$7,500 + Assault Rifle",Go to the Vice City Mall|Confront the rival gang leader in the food court|Survive the ambush — they knew you were coming|Fight out through the parking garage floor by floor|Escape in any available vehicle,"Cover is plentiful but destructible. The food court has the best sightlines. The parking garage exit has a police blockade — use the ramp on level 3 to jump over it.","Indoor combat in crowded public spaces represents a new technical achievement for the series, with fully detailed mall interiors."
Air Cargo,Chapter 3: Power Struggle,Hard,"$15,000",Drive to Vice City International Airport|Steal the cargo plane from the hangar|Fly to the drop zone (stay below radar altitude)|Parachute the cargo to the ground team|Land the plane at the desert airstrip,"Fly below 500ft to avoid air patrol radar detection. The cargo drop must land within the yellow circle or you'll have to retrieve it manually from the swamp.","Aircraft smuggling missions return, with GTA6's map rumored to include multiple airstrips and a much larger flyable airspace than previous games."
Hostage Trade,Chapter 3: Power Struggle,Normal,"$8,000",Go to the exchange location at the abandoned motel|Negotiate the hostage release|The deal goes wrong — eliminate the kidnappers|Escort the freed hostage to the hospital|Lose the police attention,"Use a silenced pistol for the initial shots — if the hostage gets caught in crossfire the mission fails instantly. Park a fast car pointing toward the road before the exchange begins.","Hostage mechanics may be expanded from GTA5's limited escort missions, potentially involving negotiation dialogue and dynamic NPC behavior."
Cartel Connection,Chapter 3: Power Struggle,Normal,"$12,000",Travel to the cartel boss's oceanfront mansion|Complete three tasks to earn their trust — Race: win the street race|Collection: repossess the stolen sports car|Enforcement: eliminate the snitch before he testifies,"Choices in earlier missions can affect your cartel trust level. Higher trust means better rewards but makes it harder to betray them later.","The branching faction reputation system is one of the most anticipated features in GTA6, potentially affecting which missions are available and how the story unfolds."
Casino Heist,Chapter 4: The Big Time,Hard,"$25,000 - $50,000",Scout the casino (pose as a high-roller guest)|Choose your approach — stealth (hack the vault) or loud (blast through)|Complete 2-3 setup missions based on your chosen approach|Execute the heist|Escape through the maintenance tunnels,"The stealth approach pays more but requires more setup missions. The loud approach is faster but you keep a smaller cut. Scout thoroughly — hidden entrances exist on all four sides of the casino.","Heists are expected to be GTA6's flagship feature, greatly expanded from GTA5's five-heist structure. Multiple approaches, dynamic loot values, and crew management are anticipated."
Yacht Infiltration,Chapter 4: The Big Time,Normal,"$14,000",Take a jetski to the yacht party offshore|Find and photograph the three incriminating documents|Upload them to your contact via phone|Leave the yacht without raising any alarm,"Dress code matters — wear the outfit provided during the setup mission. If you fall in the water, you'll need to change clothes or the guards get suspicious of your wet appearance.","Social stealth — blending into crowds and events — is expected to be a significant new mechanic in GTA6, inspired by Red Dead Redemption 2's witness and disguise systems."
Street Race Circuit,Chapter 4: The Big Time,Normal,"$5,000 - $20,000",Register at the underground street race meet|Win three qualifying heats to advance|Win the final race for the grand prize|Optional: beat the champion's time attack record,"Use a custom-tuned sports car — stock vehicles can't compete at higher difficulties. Nitrous is available but limited — save it for the final straightaway of each race.","Street racing is expected to return as a major side activity, with an expanded car customization system that may rival or surpass GTA5's Los Santos Customs."
Mansion Siege,Chapter 4: The Big Time,Very Hard,"$18,000 + RPG",Assemble the crew at the staging point|Approach the rival kingpin's oceanfront mansion|Suppress the exterior guards (watch for snipers on the roof)|Breach the front gate with C4 or a battering ram|Clear the mansion room by room|Confront the rival boss (player choice: kill or spare),"Bring heavy weapons — the mansion has RPG-wielding guards on the upper floors. If you spare the boss, he becomes a contact for future missions but may betray you later. Killing him gives an immediate cash bonus.","Mansion interiors are expected to be fully explorable without loading screens, a significant technical leap from GTA5 where most interiors were separate instances."
Convoy Ambush,Chapter 4: The Big Time,Hard,"$22,000",Set up on the highway overpass with your crew|Stop the lead escort vehicle (EMP device or sniper)|Take out the reinforcement trucks|Secure the target truck|Drive it to the chop shop before the timer runs out,"Disable the lead vehicle first — the entire convoy stops dead without it. Taking out the helicopter early prevents it from radioing for overwhelming backup.","The presence of military-grade hardware like EMP devices in civilian missions suggests a more militarized late-game, similar to GTA Online's escalation in its later updates."
Point of No Return,Chapter 5: Endgame,Hard,$0 (story-critical),Meet with your crew one last time|Choose your endgame approach — Option A: eliminate the FIB contact (stealth)|Option B: rob the Federal Reserve (loud assault)|Option C: play both sides against each other (most complex)|Complete the first phase of your chosen path,"Make a manual save before choosing — this is the point of no return. Option C requires the highest crew stats across the board but yields the best outcome for all characters involved.","Multiple endings based on choices made throughout the game are strongly rumored for GTA6, with a more nuanced system than GTA5's three-option endgame choice."
Storm the FIB Building,Chapter 5: Endgame,Very Hard,"$35,000",Infiltrate the FIB headquarters downtown|Plant the virus in the server room on floor 12|Download the evidence files|Destroy the physical backup servers|Fight through the FIB tactical response teams|Escape via the helicopter on the roof,"Bring the heavy sniper for the rooftop section. The server room is on floor 12 — elevators are disabled once the alarm triggers, so take the stairs. Save at least one grenade for the helicopter escort on the roof.","The FIB (GTA universe's version of the FBI) has been a recurring antagonist organization since GTA5, first appearing as a major faction in the series' HD era."
Federal Reserve,Chapter 5: Endgame,Very Hard,"$50,000 - $80,000",Drill into the underground vault from the storm drain|Manage the thermal drill while waves of cops attack|Load the gold bars into the freight elevator|Escape through the subway tunnel network|Surface at the designated extraction point|Drive to the buyer's warehouse to fence the gold,"The drill attracts waves of cops — set up proximity mines in the tunnel approaches beforehand. The subway escape has three possible routes; use the one you scouted during the setup mission for the smoothest exit.","The Federal Reserve heist is expected to be GTA6's equivalent of GTA5's Union Depository — the single biggest score in the entire game."
Final Betrayal,Chapter 5: Endgame,Hard,$0 (story-critical),Confront the traitor at the Port of Vice City|Survive the ambush (they knew you were coming)|Chase the traitor through the container yard|Final confrontation (interactive cutscene with QTEs)|Decide the traitor's fate — and live with the consequences,"The outcome depends on who you sided with and helped throughout the game. Some crew members may not survive this mission if you neglected their loyalty missions earlier.","GTA6's rumored loyalty and relationship system means side missions with crew members directly impact who betrays you, who survives, and which ending you can access."
One Last Ride,Finale,Normal,$0 (endgame),Drive through Vice City one last time|Visit key locations from your journey — the places change based on your choices|Return to the safehouse|Watch the ending cutscene,"Just enjoy the ride. This is a thematic victory lap — no combat, no timers, no pressure. The locations you visit and the characters you see depend on which ending path you chose.","GTA games traditionally end with a reflective moment. GTA6 is expected to have multiple epilogue variations that show the consequences of your major story decisions."